x,y
10.0,68.56783691163608
12.084395705242772,77.93318109213538
14.341349900271362,85.80812711681611
17.500365344731925,95.9452394045905
19.947064648902977,104.42696996544235
22.735842898664004,112.78659670849378
27.01971634332864,123.70615149957082
32.65169441361986,138.85403971938538
36.144404532212654,149.39329959745007
39.62272789103797,157.6676213828083
42.06703250966459,163.8569714164551
45.03674434877391,165.12367814387602
48.89204836582501,163.8569714164551
52.85613429796159,165.12367814387602
57.14164599812496,164.48910544410245
62.29277834633534,165.12367814387602
67.71944545254884,164.48910544410245
74.23636368686007,165.12367814387602
82.06300385422064,164.48910544410245
90.08559251851996,165.12367814387602
99.86086465388246,164.48910544410245
108.25843639999424,164.48910544410245
118.51142811277286,164.96489063699448
131.0059288869651,162.44357355477595
151.41502195397618,137.12729699413978
173.3065287351321,118.5759665036709
200.86395776782825,101.64992028898357
235.08296575549195,87.47614319618508
268.69668257247383,76.74207587591992
300.3515609229022,69.16443566866965
341.39134744176704,60.2118988124296
382.14196310833466,53.8501835161628
436.78314772385176,46.87989961255077
498.5427276234312,41.12731274969772
573.0098083814769,35.94197243262028
650.3992632595296,0.616191645900344
650.3992632595296,31.775343428934484
651.3051134852001,10.3227640129157
651.3051134852001,20.407159763303337
651.3051134852001,3.0811475704346547
651.3051134852001,1.016499352197343
652.2127795210872,2.001802967617294
652.2127795210872,0.1020420469653693
652.2127795210872,0.4034310506318692
652.2127795210872,0.2964763529329707
654.0313524323311,0.1528848469780387
654.0313524323311,0.1994109277403701
654.9422612873437,6.257555337944245
