x,y
10.027878067089588,68.57750206583607
12.991279945774297,79.65421897091336
17.257438384877425,93.2331971607063
20.02909268678633,79.96061387266131
22.078953338563128,70.44548137144045
23.76941961775959,60.64934942226088
26.311735102090942,50.44205211029495
30.157372602093503,39.91017174363
40.00491238098692,23.85927622126364
35.14729992411357,30.15549174275329
43.97659263159864,19.76772342572396
49.98484668195422,15.821572350160784
59.73357500108399,11.50425741876435
64.21759475793407,9.98082103552325
70.10348862873595,8.659123741499451
80.12622681937131,6.824916351522681
89.56476948617187,5.441556082505207
99.97586364303037,4.491123909624075
124.74284273614872,3.071046245069628
155.42881676046076,2.013152142171029
201.3605726621728,1.2797581276023946
229.19016555095908,0.9971245351422664
258.3363624599651,0.8042240567617053
290.78414173687537,0.6461561893229514
334.21340768069103,0.5053895103490994
379.34666679124615,0.4014066259775479
442.7303618625824,0.3044632075981569
499.7279277515296,0.2418205095152425
564.0631797641936,0.1957889839104016
651.9273113132062,0.1525491382761435
654.6553119146884,0.1015475252613429
2143.253847873889,0.1860782058054338
